,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type,matching_explanations
6359,6359,4851047049.jpg#3r1e,entailment,A man playing a guitar while a woman in a checks the oven.,A man plays an instrument.,A guitar is an instrument., A man playing a *guitar* while a woman in a checks the oven., A man plays an *instrument.*,A guitar is a type of instrument., A man playing a *guitar* while a woman in a checks the oven., A man plays an *instrument.*,A guitar is a type of instrument and man playing a guitar is a more specific way of saying a man plays an instrument., A *man* *playing* a *guitar* while a woman in a checks the oven., A *man* *plays* an *instrument.*,['guitar'],['instrument'],['guitar'],['instrument'],"['man playing', 'guitar']","['man plays', 'instrument']",classification,"2,3"
6401,6401,4950416860.jpg#3r1e,entailment,A man in a canoe throwing a yellow net into the water.,A man is in a boat,Canoe is a type of boat., A man in a *canoe* throwing a yellow net into the water., A man is in a *boat*,"A canoe is a boat, therefore a man in a boat or a canoe is the same thing only rephrased and less specific about the type of boat.", A *man* *in* *a* *canoe* throwing a yellow net into the water., A *man* *is* *in* *a* *boat*,Canoe is a type of boat., A man in a *canoe* throwing a yellow net into the water., A man is in a *boat*,['canoe'],['boat'],['man in a canoe'],['man is in a boat'],['canoe'],['boat'],classification,"1,2,3"
6572,6572,2360775984.jpg#1r1e,entailment,A man inspects the uniform of a figure in some East Asian country.,Someone is wearing a uniform,The figure is wearing a uniform., A man inspects the uniform of a *figure* in some East Asian country., Someone is wearing a *uniform*,"Wearing a uniform is a rephrasing of ""the uniform of a figure"".", A man inspects *the* *uniform* *of* *a* *figure* in some East Asian country., Someone is *wearing* *a* *uniform*,If someone is inspecting the uniform of a figure then someone is wearing a uniform., A man inspects *the* *uniform* *of* *a* *figure* *in* some East Asian country., *Someone* is *wearing* a *uniform*,['figure'],['uniform'],['the uniform of a figure'],['wearing a uniform'],['the uniform of a figure in'],"['Someone', 'wearing', 'uniform']",classification,"2,3"
6576,6576,4897542943.jpg#3r1e,entailment,A man in the street is playing drums on old cans.,A man is making music,Playing drums implies the man would make music., A man in the street is *playing* *drums* on old cans., A man is *making* *music*,Playing drums is a form of making music., A man in the street is *playing* *drums* on old cans., A man is *making* *music*,"Playing drums is making music, and man in the street is a type of man.", A *man* *in* *the* *street* is *playing* *drums* on old cans., A *man* is *making* *music*,['playing drums'],['making music'],['playing drums'],['making music'],"['man in the street', 'playing drums']","['man', 'making music']",classification,"2,3"
6745,6745,333216446.jpg#4r1e,entailment,A man with a gray beard and an apron smiles.,A man smiling.,Smiling is a continuous form of smiles., A man with a gray beard and an apron *smiles.*, A man *smiling.*,Man with a gray beard is a type of man., A *man* *with* *a* *gray* *beard* and an apron smiles., A *man* smiling.,A man with apron smiles is inferred as a man smiling., *A* *man* *with* a gray beard and an *apron* *smiles.*, *A* *man* *smiling.*,['smiles'],['smiling'],['man with a gray beard'],['man'],"['A man with', 'apron smiles']",['A man smiling'],classification,"1,2"
7086,7086,2890120770.jpg#0r1e,entailment,A man with a striped shirt looks at a load of green and yellow vegetables on the back of a truck.,A man looks at a pile of colored vegetables on a car outside.,"A load of green and yellow vegetables is a pile of colored vegetables, and truck is a form of car.", A man with a striped shirt looks at *a* *load* *of* *green* *and* *yellow* *vegetables* on the back of a *truck.*, A man looks at *a* *pile* *of* *colored* *vegetables* on a *car* outside.,"Man with a striped shirt is a kind of man, and green and yellow vegetables are colored vegetables.", A *man* *with* *a* *striped* *shirt* looks at a load of *green* *and* *yellow* *vegetables* on the back of a truck., A *man* looks at a pile of *colored* *vegetables* on a car outside.,A man is loading a colored vegetables on a truck, A man with a striped shirt looks at a load of green and yellow *vegetables* on the back of a *truck.*, A *man* looks at a pile of *colored* vegetables on a car outside.,"['a load of green and yellow vegetables', 'truck']","['a pile of colored vegetables', 'car']","['man with a striped shirt', 'green and yellow vegetables']","['man', 'colored vegetables']","['vegetables', 'truck']","['man', 'colored']",classification,"1,2"
7206,7206,2393924525.jpg#0r1e,entailment,A woman dressed in a blue tennis outfit is returning a hit with her tennis racket,A woman is playing sports.,"When you are returning a hit, you are playing a sport.  Tennis is a type of sports.", A woman dressed in a blue *tennis* outfit is *returning* *a* *hit* with her tennis racket, A woman is *playing* *sports.*,"Woman dressed in a blue tennis outfit is a type of woman, and hit with her tennis racket implies playing sports.", A *woman* *dressed* *in* *a* *blue* *tennis* *outfit* is returning a *hit* *with* *her* *tennis* *racket*, A *woman* is *playing* *sports.*,Returning a hit shows that she is playing sports, A woman dressed in a blue tennis outfit is *returning* *a* *hit* with her tennis racket, A woman is *playing* *sports.*,"['tennis', 'returning a hit']",['playing sports'],"['woman dressed in a blue tennis outfit', 'hit with her tennis racket']","['woman', 'playing sports']",['returning a hit'],['playing sports'],classification,"1,2"
7284,7284,3182517887.jpg#1r1e,entailment,A man with a tattoo is wearing sunglasses while holding a small boy.,There is a man with body art who is holding a young person.,Tattoo is body art., A man with a *tattoo* is wearing sunglasses while holding a small boy., There is a man with *body* *art* who is holding a young person.,"The has a tattoo which is a type of body art, and he is holding a small boy who is also a young person.", A *man* *with* *a* *tattoo* is wearing sunglasses while *holding* *a* *small* *boy.*, There is a *man* *with* *body* *art* who is *holding* *a* *young* *person.*,"Tattoo is a form of body art, and small boy is a young person", A man with a *tattoo* is wearing sunglasses while holding a *small* *boy.*, There is a man with *body* *art* who is holding a *young* *person.*,['tattoo'],['body art'],"['man with a tattoo', 'holding a small boy']","['man with body art', 'holding a young person']","['tattoo', 'small boy']","['body art', 'young person']",classification,"2,3"
7330,7330,4688301633.jpg#3r1n,entailment,A surgeon is performing an open surgery.,A doctor is doing some kind of medical operation.,A surgeon is a doctor and if he is performing an open surgery then he is surely doing some kind of medical operation., A surgeon is *performing* *an* *open* *surgery.*, A doctor is *doing* *some* *kind* *of* *medical* *operation.*,"Surgery is a synonym for operation, and surgeon is a type of doctor.", A *surgeon* is performing an open *surgery.*, A *doctor* is doing some kind of medical *operation.*,A doctor is doing a surgery, A surgeon is performing an open *surgery.*, A *doctor* is doing some kind of medical operation.,['performing an open surgery'],['doing some kind of medical operation'],"['surgeon', 'surgery']","['doctor', 'operation']",['surgery'],['doctor'],classification,"1,2"
7332,7332,4688301633.jpg#3r1e,entailment,A surgeon is performing an open surgery.,A doctor is doing surgery.,A surgeon is a doctor., A *surgeon* is performing an open surgery., A *doctor* is doing surgery.,"Surgeon is a doctor, and open surgery is a type of surgery.", A *surgeon* is performing an *open* *surgery.*, A *doctor* is doing *surgery.*,A surgeon is a special kind of doctor. Performing is synonym of doing., A *surgeon* is *performing* an open surgery., A *doctor* is *doing* surgery.,['surgeon'],['doctor'],"['surgeon', 'open surgery']","['doctor', 'surgery']","['surgeon', 'performing']","['doctor', 'doing']",classification,"2,3"
7378,7378,221597303.jpg#0r1n,entailment,A young boy walking in the park dressed in dark clothes and dark cap.,A young boy wandering in the park dressed in dark clothes and dark cap.,Wandering can include walking., A *young* boy *walking* in the park dressed in dark clothes and dark cap., A *young* boy *wandering* in the park dressed in dark clothes and dark cap.,Wandering is a form of walking., A young boy *walking* in the park dressed in dark clothes and dark cap., A young boy *wandering* in the park dressed in dark clothes and dark cap.,Walking can be a form of wandering., A young boy *walking* in the *park* dressed in dark clothes and dark cap., A young *boy* *wandering* in the *park* dressed in dark clothes and dark cap.,"['young', 'walking']","['young', 'wandering']",['walking'],['wandering'],"['walking', 'park']","['boy wandering', 'park']",classification,"2,3"
7383,7383,3523115345.jpg#4r1e,entailment,A female researcher videotaping a specimen.,A female is recording her research. `,Videotaping is recording., A female researcher *videotaping* a specimen., A female is *recording* her research. `,Videotaping is a form of recording., A female researcher *videotaping* a specimen., A female is *recording* her research. `,"Female researcher is a female, and videotaping is a form of recording.", A *female* *researcher* *videotaping* a specimen., A *female* is *recording* her research. `,['videotaping'],['recording'],['videotaping'],['recording'],['female researcher videotaping'],"['female', 'recording']",classification,"2,3"
7643,7643,4630881369.jpg#1r1e,entailment,Boy with white powder and blue writing on his face,A boy with a painted face.,White powder and blue writing is paint., Boy with *white* *powder* *and* *blue* *writing* on his face, A boy with a *painted* face.,"Boy with white powder is a type of boy, and blue writing on his face is a paraphrase of painted face.", *Boy* *with* *white* *powder* and *blue* *writing* *on* *his* *face*, A *boy* with a *painted* *face.*,White powder and blue writing on his face is a form of a painted face., Boy with *white* *powder* *and* *blue* *writing* *on* *his* *face*, A boy with a *painted* *face.*,['white powder and blue writing'],['painted'],"['Boy with white powder', 'blue writing on his face']","['boy', 'painted face']",['white powder and blue writing on his face'],['painted face'],classification,"2,3"
7723,7723,2973355135.jpg#4r1e,entailment,two people in a rowboat in a river.,A couple people are in a small boat in the water.,The boat is in the river., two people in a rowboat in a *river.*, A couple people are in a small *boat* in the water.,"A couple is two, a rowboat is a type of small boat, and a river is a body of water.", *two* people in a *rowboat* in a *river.*, A *couple* people are in a *small* *boat* in the *water.*,The phrase a couple people refers to a group of at least two people. A rowboat is a type of boat. A river is a body of water., *two* *people* in a *rowboat* in a *river.*, A *couple* *people* are in a small *boat* in the *water.*,['river'],['boat'],"['two', 'rowboat', 'river']","['couple', 'small boat', 'water']","['two people', 'rowboat', 'river']","['couple people', 'boat', 'water']",classification,"2,3"
7733,7733,7784556054.jpg#1r1e,entailment,two bicyclists in spandex and helmets in a race pedaling uphill.,"A pair of humans are riding their bicycle with tight clothing, competing with each other.",two bicyclists pedaling same as humans competing, *two* *bicyclists* in spandex and helmets in a race *pedaling* uphill.," A pair of *humans* are riding their bicycle with tight clothing, *competing* with each other.","Two humans riding bikes are bicyclists, spandex is tight clothing, and racing is a type of competition.", two *bicyclists* in *spandex* and helmets in a *race* pedaling uphill.," A pair of humans are *riding* *their* *bicycle* with *tight* *clothing,* *competing* with each other.",Two humans are also a pair of bicyclists. Spandex is tight clothing. To race is a form of competing., *two* *bicyclists* *in* *spandex* and helmets in a *race* pedaling uphill.," A *pair* *of* *humans* are riding their bicycle *with* *tight* *clothing,* *competing* with each other.","['two bicyclists', 'pedaling']","['humans', 'competing']","['bicyclists', 'spandex', 'race']","['riding their bicycle', 'tight clothing competing']","['two bicyclists in spandex', 'race']","['pair of humans', 'with tight clothing competing']",classification,"2,3"
7991,7991,533601247.jpg#2r1n,entailment,A boy in sandals is looking at a camera in a busy street.,A boy is looking at electronics near a road,A camera is a type of electronic, A boy in sandals is looking at a *camera* in a busy street., A boy is looking at *electronics* near a road,"The subject of both sentences is ""boy"". A camera is a type of electronic. Street is a synonym for road.", A *boy* in sandals is looking at a *camera* in a busy *street.*, A *boy* is looking at *electronics* near a *road*,Same boy doing the same action. First sentence gives more detail., A *boy* in sandals is looking at a camera in a busy street., A *boy* is looking at electronics near a road,['camera'],['electronics'],"['boy', 'camera', 'street']","['boy', 'electronics', 'road']",['boy'],['boy'],classification,"1,2"
8035,8035,1998457059.jpg#0r1e,entailment,a body boarder is being dumped on the beach by a wave whilst other surfers are standing around in the water.,There are surfers on a beach.,A body boarder is a form of surfers., a *body* *boarder* is being dumped on the beach by a wave whilst other surfers are standing around in the water., There are *surfers* on a beach.,"Beach implies water, and body boarder is a type of surfer.", a *body* *boarder* is being dumped on the beach by a wave whilst other surfers are standing around in the *water.*, There are *surfers* on a *beach.*,Whilst other surfers are standing around in the water means there are surfers on beach., a body boarder is being dumped on the beach by a wave whilst other *surfers* are standing around in the water., There are *surfers* on a *beach.*,['body boarder'],['surfers'],"['body boarder', 'water']","['surfers', 'beach']",['surfers'],"['surfers', 'beach']",classification,"1,2"
8084,8084,761479953.jpg#2r1e,entailment,A young boy wearing safety swimming gear and goggles is in a pool.,A kid uses eye protection while in the water.,A young boy is called a kid and goggles are a form of eye protection., A *young* *boy* wearing safety swimming gear and *goggles* is in a pool., A *kid* uses *eye* *protection* while in the water.,"They have a similar subject (boy, kid) with a similar verb (wearing, uses) and similar direct objects (goggles, eye protection).", A young *boy* *wearing* *safety* swimming gear and *goggles* is in a pool., A *kid* *uses* *eye* *protection* while in the water.,"A young boy is a kid, and goggles are a form of eye protection.", A *young* *boy* wearing safety swimming gear and *goggles* is in a pool., A *kid* uses *eye* protection while in the water.,"['young boy', 'goggles']","['kid', 'eye protection']","['boy wearing safety', 'goggles']",['kid uses eye protection'],"['young boy', 'goggles']","['kid', 'eye']",classification,"1,3"
8101,8101,4591344824.jpg#0r1e,entailment,A man wears a brightly colored ceremonial robe while holding a similarly colored cone shaped hat with a star on top.,He holds robe and hat,A brightly colored ceremonial robe is a type of robe., A man wears *a* *brightly* *colored* *ceremonial* *robe* while holding a similarly colored cone shaped hat with a star on top., He holds *robe* and hat,Cone shaped describes the type of hat., A man wears a brightly colored ceremonial robe while holding a similarly colored *cone* *shaped* *hat* with a star on top., He holds robe and *hat*,team wearing the colors red and white and another team sporting the colors black and blue and holding cone shaped hat can be inferred as holds robe and hat., A man *wears* *a* *brightly* *colored* *ceremonial* *robe* while *holding* a similarly colored *cone* *shaped* *hat* with a star on top., He *holds* *robe* *and* *hat*,['a brightly colored ceremonial robe'],['robe'],['cone shaped hat'],['hat'],"['wears a brightly colored ceremonial robe', 'holding', 'cone shaped hat']",['holds robe and hat'],classification,"1,2"
8123,8123,458183774.jpg#0r1e,entailment,A large tan dog is rolling around on its back in a yard of grass.,A dog is rolling in the grass.,"A large tan dog is a type of dog, and ""rolling"" is a rephrasing of ""rolling around on its back.""", A *large* *tan* *dog* is *rolling* *around* *on* *its* *back* in a yard of grass., A *dog* is *rolling* in the grass.,Rolling in the grass is a more concise way of saying rolling around on its back in a yard of grass., A large tan dog is *rolling* *around* *on* *its* *back* *in* *a* *yard* *of* *grass.*, A dog is *rolling* *in* *the* *grass.*,"Large tan dog is a form of dog, and rolling in the grass is a paraphrase of on its back in a yard of grass.", A *large* *tan* *dog* is rolling around *on* *its* *back* *in* *a* *yard* *of* *grass.*, A *dog* is *rolling* *in* *the* *grass.*,"['large tan dog', 'rolling around on its back']","['dog', 'rolling']",['rolling around on its back in a yard of grass'],['rolling in the grass'],"['large tan dog', 'on its back in a yard of grass']","['dog', 'rolling in the grass']",classification,"1,3"
8156,8156,7228557720.jpg#0r1e,entailment,A man drawing pictures of individuals sits under an umbrella with previous works such as justin beiber around him.,a man is drawing,drawing pictures is a form of drawing., A man *drawing* *pictures* of *individuals* sits under an umbrella with previous works such as justin beiber around him., a man is *drawing*,Drawing pictures is a more specific kind of drawing., A man *drawing* *pictures* of individuals sits under an umbrella with previous works such as justin beiber around him., a man is *drawing*,A man is drawing is a rephrasing of man drawing, A *man* *drawing* pictures of individuals sits under an umbrella with previous works such as justin beiber around him., a *man* *is* *drawing*,"['drawing pictures', 'individuals']",['drawing'],['drawing pictures'],['drawing'],['man drawing'],['man is drawing'],classification,"1,2"
8505,8505,4672131242.jpg#4r1e,entailment,A man in a black shirt is standing behind a blue SUV.,A person is next to a car,A man is a type of person. Standing behind can be considered standing next to. An SUV is a type of car., *A* *man* in a black shirt is *standing* *behind* a blue *SUV.*, A *person* is *next* to a *car*,"Man is a person, and blue SUV is a type of car.", A *man* in a black shirt is standing behind a *blue* *SUV.*, A *person* is next to a *car*,An SUV is a car., A man in a black shirt is standing behind a blue *SUV.*, A person is next to a *car*,"['A man', 'standing behind', 'SUV']","['person', 'next', 'car']","['man', 'blue SUV']","['person', 'car']",['SUV'],['car'],classification,"1,2"
8774,8774,4731709586.jpg#3r1e,entailment,A clown making a balloon animal for a pretty lady.,A clown making balloon shapes for a lady.,A baloon animal is a shape., A clown making a *balloon* *animal* for a pretty lady., A clown making balloon *shapes* for a lady.,A balloon animal is a type of shape and a pretty lady is more specific than lady., A *clown* making a balloon *animal* for a *pretty* lady., A clown making balloon *shapes* for a lady.,"A balloon can be made into many shapes, with an animal being a certain type of shape.", A clown making a *balloon* *animal* for a pretty lady., A clown making *balloon* *shapes* for a lady.,['balloon animal'],['shapes'],"['clown', 'animal', 'pretty']",['shapes'],['balloon animal'],['balloon shapes'],classification,"2,3"
8893,8893,4115814951.jpg#4r1e,entailment,A group of young men are raking lives in front of a home.,Men are doing yard work,Doing yard work involves raking also., A group of young men are *raking* lives in front of a home., Men are doing *yard* *work*,Raking is a form of yard work., A group of young men are *raking* lives in front of a home., Men are doing *yard* *work*,The men are all doing some kind of yard work, A group of young *men* are *raking* *lives* in front of a home., *Men* are *doing* *yard* *work*,['raking'],['yard work'],['raking'],['yard work'],"['men', 'raking lives']","['Men', 'doing yard work']",classification,"2,3"
8961,8961,3089862485.jpg#0r1e,entailment,A man on stage holds a hello kitty guitar and looks to the right of the picture.,The man is holding an instrument in his hands.,A guitar is a type of instrument., A man on stage holds a hello kitty *guitar* and looks to the right of the picture., The man is holding an *instrument* in his hands.,"guitar is a musical instrument, which is always held in hands", A man on stage holds a *hello* *kitty* *guitar* and looks to the right of the picture., The man is holding an *instrument* in his hands.,"Man on stage is a type of man, and hello kitty guitar is a type of instrument.", A *man* *on* *stage* holds a *hello* *kitty* *guitar* and looks to the right of the picture., The *man* is holding an *instrument* in his hands.,['guitar'],['instrument'],['hello kitty guitar'],['instrument'],"['man on stage', 'hello kitty guitar']","['man', 'instrument']",classification,"1,3"
9173,9173,360723732.jpg#1r1e,entailment,A dog with a red object in its mouth is hurrying down a smooth path near grass and another dog.,A dog with a red object in its mouth is hurrying down a path near another dog.,"Sentence 2 is a subset of sentence 1. All the information(dog, object and object color, mouth, path and the other dog) in sentence 2 is present exactly in the same manner in sentence 1.(Additional information is present about the path being smooth as well as it being near grass in sentence 1).", A dog with a red object in its mouth is hurrying down a smooth *path* *near* grass and *another* *dog.*, A dog with a red object in its mouth is hurrying down a *path* *near* *another* *dog.*,Smooth path near grass is a type of path., A dog with a red object in its mouth is hurrying down a *smooth* *path* *near* *grass* and another dog., A dog with a red object in its mouth is hurrying down a *path* near another dog.,A smooth path is a type of path., A dog with a red object in its mouth is hurrying down a *smooth* *path* near grass and another dog., A dog with a red object in its mouth is hurrying down a path near another dog.,"['path near', 'another dog']",['path near another dog'],['smooth path near grass'],['path'],['smooth path'],[],classification,"2,3"
9198,9198,5244225882.jpg#4r1e,entailment,Young man engraves Arabic writing into a stone.,Young man is engraving into a stone.,A young man that engraves Arabic writing into a stone is definitely engraving into a stone., Young man *engraves* *Arabic* *writing* *into* *a* *stone.*, Young man is *engraving* *into* *a* *stone.*,Engraves Arabic writing is a form of engraving., Young man *engraves* *Arabic* *writing* into a stone., Young man is *engraving* into a stone.,Engraves Arabic writing is a more specific type of engraving. The rest of the sentences are identical., Young man *engraves* *Arabic* *writing* into a stone., Young man is *engraving* into a stone.,['engraves Arabic writing into a stone'],['engraving into a stone'],['engraves Arabic writing'],['engraving'],['engraves Arabic writing'],['engraving'],classification,"2,3"
9289,9289,3664928753.jpg#4r1e,entailment,Javelin competition,There is a competition.,Javelin is a specific type of competition., *Javelin* competition, There is a *competition.*,A javelin competition is one kind of competition., *Javelin* *competition*, There is a *competition.*,There must be a competition for a Javelin competition to take place., *Javelin* *competition*, There is a *competition.*,['Javelin'],['competition'],['Javelin competition'],['competition'],['Javelin competition'],['competition'],classification,"1,2"
9362,9362,2042114239.jpg#4r1e,entailment,Two boys laying tile in a bathroom.,Some boys repair a bathroom.,Laying tile is a form of repair., Two boys *laying* *tile* in a bathroom., Some boys *repair* a bathroom.,Laying tile is a form of repair., Two boys *laying* *tile* in a bathroom., Some boys *repair* a bathroom.,Laying tile is also a form of work or a repair., Two boys *laying* *tile* in a bathroom., Some boys repair a bathroom.,['laying tile'],['repair'],['laying tile'],['repair'],['laying tile'],[],classification,"1,2,3"
9493,9493,8034142456.jpg#4r1e,entailment,Golfer celebrates after a shot he has made.,An athlete has just made a shot with his golf club.,A golfer is the same as an athlete., *Golfer* celebrates after a shot he has made., An *athlete* has just made a shot with his golf club.,A golfer is a kind of athlete., *Golfer* celebrates after a shot he has made., An *athlete* has just made a shot with his golf club.,A golfer is a type of athlete., *Golfer* celebrates after a shot he has made., An *athlete* has just made a shot with his golf club.,['Golfer'],['athlete'],['Golfer'],['athlete'],['Golfer'],['athlete'],classification,"2,3"
9549,9549,3439982121.jpg#4r1e,entailment,A woman huge a fluffy white dog.,The dog is embraced by the woman,A woman hugging a white dog is the same as dog embraced by the woman., A *woman* huge a *fluffy* *white* *dog.*, The *dog* is *embraced* by the *woman*,"Fluffy white dog is a type of dog, and huge means embraced.", A woman *huge* a *fluffy* *white* *dog.*, The *dog* is *embraced* by the woman,A hug is a form of being embraced., A woman *huge* a fluffy white dog., The dog is *embraced* by the woman,"['woman', 'fluffy white dog']","['dog', 'embraced', 'woman']","['huge', 'fluffy white dog']","['dog', 'embraced']",['huge'],['embraced'],classification,"2,3"
